"QTA","FATTURATO","ANNOMESE","ART_COD"
376,71373.27,"2021-03","MOTMOTOG10"
390,73827.19,"2021-04","MOTMOTOG10"
438,82693.8,"2021-05","MOTMOTOG10"
394,73999.62,"2021-06","MOTMOTOG10"
593,111902.02,"2021-07","MOTMOTOG10"
1322,250477.81,"2021-08","MOTMOTOG10"
2150,408018.27,"2021-09","MOTMOTOG10"
506,95825.51,"2021-10","MOTMOTOG10"
135,24238.27,"2021-11","MOTMOTOG10"
70,12214.2,"2021-12","MOTMOTOG10"
31,5208.77,"2022-01","MOTMOTOG10"
16,2798.88,"2022-02","MOTMOTOG10"
15,2365.92,"2022-03","MOTMOTOG10"
6,959.97,"2022-04","MOTMOTOG10"
3,569.97,"2022-05","MOTMOTOG10"
3,448.98,"2022-06","MOTMOTOG10"
2,379.98,"2022-07","MOTMOTOG10"
1,133.99,"2022-08","MOTMOTOG10"
2,269.99,"2022-09","MOTMOTOG10"
1,189.99,"2022-10","MOTMOTOG10"
1,189.99,"2023-02","MOTMOTOG10"
1,20,"2021-02","ASUZENFONE255S"
231,55416.9,"2021-03","MOTMOTOG30"
168,40130.68,"2021-04","MOTMOTOG30"
635,152067.74,"2021-05","MOTMOTOG30"
809,193368.8,"2021-06","MOTMOTOG30"
664,158843.46,"2021-07","MOTMOTOG30"
1090,261384.7,"2021-08","MOTMOTOG30"
807,193065.47,"2021-09","MOTMOTOG30"
1350,322336.66,"2021-10","MOTMOTOG30"
925,220297.38,"2021-11","MOTMOTOG30"
619,147664.1,"2021-12","MOTMOTOG30"
304,70731.06,"2022-01","MOTMOTOG30"
216,46675.06,"2022-02","MOTMOTOG30"
128,28172.13,"2022-03","MOTMOTOG30"
51,10726.46,"2022-04","MOTMOTOG30"
22,4988.2,"2022-05","MOTMOTOG30"
8,1869.2,"2022-06","MOTMOTOG30"
7,1679.3,"2022-07","MOTMOTOG30"
9,1999.22,"2022-08","MOTMOTOG30"
11,2369.2,"2022-09","MOTMOTOG30"
2,388.9,"2022-10","MOTMOTOG30"
5,724.07,"2022-11","MOTMOTOG30"
8,1218.93,"2022-12","MOTMOTOG30"
4,617.96,"2023-01","MOTMOTOG30"
1,159.99,"2023-02","MOTMOTOG30"
1,379,"2018-03","SAMWF70F5E5U4WET"
1,379,"2018-04","SAMWF70F5E5U4WET"
1,379,"2018-05","SAMWF70F5E5U4WET"
1,199,"2018-05","TIMP8G"
1,199,"2018-06","TIMP8G"
1,100,"2018-12","SONXPERIAM4AQUAS"
1,129.9,"2019-07","SONXPERIAM4AQUAS"
1,50,"2020-10","SONXPERIAM4AQUAS"
3,1137,"2018-03","WHIFSCR90210"
1,379,"2018-05","WHIFSCR90210"
1,379,"2018-06","WHIFSCR90210"
1,149,"2018-03","OMNG232GB"
1,69.91,"2018-07","OMNG232GB"
2,2598,"2021-04","BOHWAV28EA9II"
1,1299,"2021-05","BOHWAV28EA9II"
2,2598,"2021-06","BOHWAV28EA9II"
1,1299,"2021-07","BOHWAV28EA9II"
2,2598,"2021-08","BOHWAV28EA9II"
3,3533,"2021-09","BOHWAV28EA9II"
3,3797,"2021-10","BOHWAV28EA9II"
2,2209.32,"2021-11","BOHWAV28EA9II"
3,3110.45,"2021-12","BOHWAV28EA9II"
2,2758,"2022-01","BOHWAV28EA9II"
2,2318.6,"2022-02","BOHWAV28EA9II"
1,881,"2022-03","BOHWAV28EA9II"
5,7095,"2022-06","BOHWAV28EA9II"
2,2858,"2022-07","BOHWAV28EA9II"
2,2439,"2022-08","BOHWAV28EA9II"
1,1035.3,"2022-09","BOHWAV28EA9II"
1,1479,"2022-10","BOHWAV28EA9II"
3,3270.22,"2022-11","BOHWAV28EA9II"
1,959.36,"2022-12","BOHWAV28EA9II"
2,2087.55,"2023-01","BOHWAV28EA9II"
4,3922,"2023-02","BOHWAV28EA9II"
1,1049,"2023-03","BOHWAV28EA9II"
5,3565,"2023-04","BOHWAV28EA9II"
9,6411.32,"2023-05","BOHWAV28EA9II"
1,701.51,"2023-06","BOHWAV28EA9II"
1,999,"2023-07","BOHWAV28EA9II"
1,849.9,"2023-08","BOHWAV28EA9II"
5,4249.5,"2023-11","BOHWAV28EA9II"
4,2429.9,"2023-12","BOHWAV28EA9II"
1,1199,"2021-03","BOHWAV28GA9II"
2,2398,"2021-04","BOHWAV28GA9II"
1,1199,"2021-05","BOHWAV28GA9II"
1,1199,"2021-06","BOHWAV28GA9II"
1,1100,"2021-07","BOHWAV28GA9II"
3,3597,"2021-08","BOHWAV28GA9II"
2,1606.3,"2021-09","BOHWAV28GA9II"
3,3527,"2021-10","BOHWAV28GA9II"
4,4996,"2021-11","BOHWAV28GA9II"
1,1249,"2021-12","BOHWAV28GA9II"
3,3146.36,"2022-01","BOHWAV28GA9II"
2,2498,"2022-02","BOHWAV28GA9II"
3,3747,"2022-03","BOHWAV28GA9II"
1,1249,"2022-04","BOHWAV28GA9II"
1,1249,"2022-05","BOHWAV28GA9II"
5,5947,"2022-06","BOHWAV28GA9II"
4,5346,"2022-07","BOHWAV28GA9II"
2,2698,"2022-08","BOHWAV28GA9II"
1,1003,"2022-09","BOHWAV28GA9II"
1,900,"2022-10","BOHWAV28GA9II"
6,7039,"2022-11","BOHWAV28GA9II"
3,2789,"2022-12","BOHWAV28GA9II"
6,5624,"2023-01","BOHWAV28GA9II"
3,4047,"2023-02","BOHWAV28GA9II"
6,6641.86,"2023-03","BOHWAV28GA9II"
21,15933.39,"2023-04","BOHWAV28GA9II"
24,19380.4,"2023-05","BOHWAV28GA9II"
20,14100.18,"2023-06","BOHWAV28GA9II"
5,3751.61,"2023-07","BOHWAV28GA9II"
10,6715.17,"2023-08","BOHWAV28GA9II"
1,700,"2023-09","BOHWAV28GA9II"
2,953.85,"2023-12","BOHWAV28GA9II"
2,658,"2018-03","REXRWF1489EOW"
3,1037.01,"2018-04","REXRWF1489EOW"
1,329,"2018-05","REXRWF1489EOW"
1,20,"2020-10","HUAY360"
1,64.9,"2018-03","HUAY360W"
1,15.9,"2020-02","HUAY360W"
1,14.9,"2020-08","HUAY360W"
1,29.9,"2020-09","HUAY360W"
2,558,"2018-03","WHIFSCR70210"
1,279,"2018-07","WHIFSCR70210"
1,279,"2018-08","WHIFSCR70210"
1,279,"2018-09","WHIFSCR70210"
6,4794,"2018-03","WHIFSCR10423"
8,6192,"2018-04","WHIFSCR10423"
14,10946.3,"2018-05","WHIFSCR10423"
21,12581.59,"2018-06","WHIFSCR10423"
31,17279.02,"2018-07","WHIFSCR10423"
